,id,name,popularity,artist_name,explicit,release date,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,playlist name
3526,1ID1QFSNNxi0hiZCNcwjUC,Legend,69,Drake,True,2015-02-12,0.714,0.563,-7.574,1,0.0723,0.0266,0.0,0.0776,0.31,100.091,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Hype pt. 2
3527,32lmL4vQAAotg6MrJnhlQZ,Work,4,Rihanna,True,2016-01-28,0.725,0.534,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",Hype pt. 2
3528,5fyIGoaaKelzdyW8ELhYJZ,Feeling Myself,67,Nicki Minaj,True,2014-12-15,0.564,0.703,-5.459,1,0.269,0.437,0.00927,0.358,0.477,139.045,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",Hype pt. 2
3529,2tVouQintSo2ffjVgnv6Sh,My Humps,0,Black Eyed Peas,False,2005-01-01,0.802,0.682,-5.924,0,0.222,0.111,1.39e-05,0.109,0.586,123.95,"['dance pop', 'pop', 'pop rap']",Hype pt. 2
3530,0ltBH1JNzSvQJPjJpvTu9B,Whistle,63,Flo Rida,False,2012-04-24,0.754,0.933,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",Hype pt. 2
3531,2HNcNd5RPZ7DSRNbIl6JsP,The Hills,0,The Weeknd,True,2015-05-27,0.587,0.566,-7.017,0,0.0528,0.0843,0.0,0.145,0.155,113.025,"['canadian contemporary r&b', 'canadian pop', 'pop']",Hype pt. 2
3532,61LtVmmkGr8P9I2tSPvdpf,Teach Me How to Dougie,64,Cali Swag District,True,2011-07-12,0.846,0.438,-4.981,1,0.141,0.2,9.43e-05,0.0939,0.512,85.013,['pop rap'],Hype pt. 2
3533,66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),76,Soulja Boy,False,2007-01-01,0.736,0.74,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,"['atl hip hop', 'dance pop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hype pt. 2
3534,5m2M2bPx08t1SQ9kyAVabV,I Woke Up in a New Bugatti,37,Power of Sound,True,2013-05-17,0.541,0.34,-13.235,1,0.136,0.0529,0.0,0.0984,0.0668,130.192,[],Hype pt. 2
3535,15uQJm8ACjST5R4tVPnbgw,Apple Bottom Jeans,49,Kevin Turk,False,2014-05-24,0.921,0.693,-6.863,1,0.134,0.253,0.0,0.0909,0.93,127.964,[],Hype pt. 2
3536,275a9yzwGB6ncAW4SxY7q3,Panda,69,Desiigner,True,2016-02-26,0.685,0.731,-5.503,0,0.414,0.0292,0.0,0.369,0.266,145.245,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",Hype pt. 2
